31.880.826/0001-16,C:\desif\2018\31880826.DESIF,31.880.826/0001-16,31.880.826/0001-16
31.895.683/0002-05,C:\desif\2018\31895683.DESIF,31.895.683/0002-05,31.895.683/0002-05
33.132.044/0001-24,C:\desif\2018\33132044.DESIF,33.132.044/0001-24,33.132.044/0001-24
33.147.315/0001-15,C:\desif\2018\33147315.DESIF,33.147.315/0001-15,33.147.315/0001-15
33.172.537/0009-45,C:\desif\2018\33172537.DESIF,33.172.537/0009-45,33.172.537/0009-45
33.222.241/0001-34,C:\desif\2018\33222241.DESIF,33.222.241/0001-34,33.222.241/0001-34
33.254.319/0001-00,C:\desif\2018\33254319.DESIF,33.254.319/0001-00,33.254.319/0001-00
33.264.668/0001-03,C:\desif\2018\33264668.DESIF,33.264.668/0001-03,33.264.668/0001-03
33.479.023/0002-60,C:\desif\2018\33479023.DESIF,33.479.023/0002-60,33.479.023/0002-60
33.657.248/0001-89,C:\desif\2018\33657248.DESIF,33.657.248/0001-89,33.657.248/0001-89
33.660.564/0001-00,C:\desif\2018\33660564.DESIF,33.660.564/0001-00,33.660.564/0001-00
33.775.974/0001-04,C:\desif\2018\33775974.DESIF,33.775.974/0001-04,33.775.974/0001-04
33.824.012/0001-90,C:\desif\2018\33824012.DESIF,33.824.012/0001-90,33.824.012/0001-90
33.851.064/0001-55,C:\desif\2018\33851064.DESIF,33.851.064/0001-55,33.851.064/0001-55
33.862.244/0001-32,C:\desif\2018\33862244.DESIF,33.862.244/0001-32,33.862.244/0001-32
33.886.862/0001-12,C:\desif\2018\33886862.DESIF,33.886.862/0001-12,33.886.862/0001-12
33.923.111/0001-29,C:\desif\2018\33923111.DESIF,33.923.111/0001-29,33.923.111/0001-29
33.923.798/0001-00,C:\desif\2018\33923798.DESIF,33.923.798/0001-00,33.923.798/0001-00
33.968.066/0001-29,C:\desif\2018\33968066.DESIF,33.968.066/0001-29,33.968.066/0001-29
33.987.793/0002-14,C:\desif\2018\33987793.DESIF,33.987.793/0002-14,33.987.793/0002-14
34.190.991/0001-34,C:\desif\2018\34190991.DESIF,34.190.991/0001-34,34.190.991/0001-34
34.270.520/0001-36,C:\desif\2018\34270520.DESIF,34.270.520/0001-36,34.270.520/0001-36
36.113.876/0001-91,C:\desif\2018\36113876.DESIF,36.113.876/0001-91,36.113.876/0001-91
36.178.887/0001-50,C:\desif\2018\36178887.DESIF,36.178.887/0001-50,36.178.887/0001-50
40.353.377/0001-49,C:\desif\2018\40353377.DESIF,40.353.377/0001-49,40.353.377/0001-49
42.066.258/0002-11,C:\desif\2018\42066258.DESIF,42.066.258/0002-11,42.066.258/0002-11
42.272.526/0001-70,C:\desif\2018\42272526.DESIF,42.272.526/0001-70,42.272.526/0001-70
43.815.158/0006-37,C:\desif\2018\43815158.DESIF,43.815.158/0006-37,43.815.158/0006-37
45.246.410/0001-55,C:\desif\2018\45246410.DESIF,45.246.410/0001-55,45.246.410/0001-55
52.904.364/0003-61,C:\desif\2018\52904364.DESIF,52.904.364/0003-61,52.904.364/0003-61
54.403.563/0001-50,C:\desif\2018\54403563.DESIF,54.403.563/0001-50,54.403.563/0001-50
58.160.789/0005-51,C:\desif\2018\58160789.DESIF,58.160.789/0005-51,58.160.789/0005-51
58.160.789/0192-28,C:\desif\2018\58160789.DESIF,58.160.789/0192-28,58.160.789/0192-28
59.281.253/0001-23,C:\desif\2018\59281253.DESIF,59.281.253/0001-23,59.281.253/0001-23
59.285.411/0005-47,C:\desif\2018\59285411.DESIF,59.285.411/0005-47,59.285.411/0005-47
60.498.557/0016-02,C:\desif\2018\60498557.DESIF,60.498.557/0016-02,60.498.557/0016-02
60.701.190/0004-49,C:\desif\2018\60701190.DESIF,60.701.190/0004-49,60.701.190/0004-49
60.701.190/1008-26,C:\desif\2018\60701190.DESIF,60.701.190/1008-26,60.701.190/1008-26
